,r_btc,r_gold,r_spx,r_spx_auto,r_spx_oilgas,r_spx_mach,r_spx_elec,r_aapl,r_btc_signed,r_gold_signed,r_spx_signed,r_spx_auto_signed,r_spx_oilgas_signed,r_spx_mach_signed,r_spx_elec_signed,r_aapl_signed,dln_eurusd,dln_usdcny,dln_oil,dy10,momentum_1d_btc,momentum_3d_btc,momentum_5d_btc,momentum_1d_gold,momentum_3d_gold,momentum_5d_gold,momentum_1d_spx,momentum_3d_spx,momentum_5d_spx,momentum_1d_spx_auto,momentum_3d_spx_auto,momentum_5d_spx_auto,momentum_1d_spx_oilgas,momentum_3d_spx_oilgas,momentum_5d_spx_oilgas,momentum_1d_spx_mach,momentum_3d_spx_mach,momentum_5d_spx_mach,momentum_1d_spx_elec,momentum_3d_spx_elec,momentum_5d_spx_elec,momentum_1d_aapl,momentum_3d_aapl,momentum_5d_aapl
2025-01-07,0.051824282978696345,0.006912096917742971,0.011166021516636704,0.03929532996321594,0.010447570882365476,0.004527874100043405,0.003363736577527199,0.011453142219624013,-0.051824282978696345,0.006912096917742971,-0.011166021516636704,-0.03929532996321594,0.010447570882365476,-0.004527874100043405,0.003363736577527199,-0.011453142219624013,-0.007831703690984473,0.00036878438027998506,0.00933641113600725,0.06500005722045898,-0.051824282978696345,0.00012324167448163337,0.007341964434787585,0.006912096917742971,-0.0002759113249185911,0.002081026778339279,-0.011166021516636704,0.0022913672293357243,0.0009295477077117198,-0.03929532996321594,0.012205228019413816,-0.004547603421422508,0.010447570882365476,0.0048502002166879166,0.004998064969101712,-0.004527874100043405,0.0026303235962300184,-9.109841382510808e-05,0.003363736577527199,0.01089234765672901,0.004368588312513566,-0.011453142219624013,-0.00224940617961907,-0.00666686513967516
2025-01-08,0.01957885769656542,0.0029316900271956214,0.0015591440938305112,4.849230574333063e-05,0.00013153643975893914,0.0019215242339853944,0.002106325164127121,0.0020209907125270377,-0.01957885769656542,0.0029316900271956214,0.0015591440938305112,4.849230574333063e-05,-0.00013153643975893914,-0.0019215242339853944,0.002106325164127121,0.0020209907125270377,0.0039390274478407206,0.000559755617949298,-0.01260435887354916,0.009999752044677734,-0.01957885769656542,-0.01057605714220422,0.001316915604085267,0.0029316900271956214,0.0024484524814788835,0.002667364783778403,0.0015591440938305112,-0.0013613703086624203,0.001241376526477822,4.849230574333063e-05,-0.011991991280378755,-0.004537904960273842,-0.00013153643975893914,0.0018780717255504342,0.004971757681149924,-0.0019215242339853944,-0.0019104569541050036,-0.000475403260622187,0.002106325164127121,0.0058173037395154266,0.00478985334533899,0.0020209907125270377,-0.0009052382865825473,-0.006262666997169752
2025-01-09,0.02729884917903469,0.007217296123673833,0.0,0.0,0.0,0.0,0.0,0.0,-0.02729884917903469,0.007217296123673833,0.0,0.0,0.0,0.0,0.0,0.0,0.0029853911379894155,0.0006959046657268875,0.008149983753407142,0.0,-0.02729884917903469,-0.032900663284765486,-0.009301596370431042,0.007217296123673833,0.005687027689537476,0.0018642504352227363,0.0,-0.003202292474268731,0.0016866491563675367,0.0,-0.013082279219157536,0.007332835272796956,0.0,0.003438678147535512,0.002883812842060962,0.0,-0.0021497994446762667,0.0011938893109409321,0.0,0.0018233539138847732,0.006956673626862831,0.0,-0.0031440505023656584,-0.0009454455652660343
2025-01-10,0.0236932656291593,0.009161257237443543,0.015531637650232355,0.002137076158005513,0.004031293525303958,0.017105368513442798,0.017266870643394938,0.024398989689712103,0.0236932656291593,0.009161257237443543,-0.015531637650232355,-0.002137076158005513,0.004031293525303958,-0.017105368513442798,-0.017266870643394938,-0.024398989689712103,0.001659270076576496,8.181635432857881e-05,0.035221948576785955,0.08300018310546964,0.0236932656291593,-0.007728147082146937,-0.00706675099529761,0.009161257237443543,0.006436747796104332,0.004744782161110806,-0.015531637650232355,-0.004657497852133948,-0.003923149715243923,-0.002137076158005513,-0.0006961946174207275,-0.007622609999828356,0.004031293525303958,0.0012999190285150064,0.0019331017403910523,-0.017105368513442798,-0.006342297582476064,-0.004567347875151562,-0.017266870643394938,-0.005053515159755939,3.700811503026813e-05,-0.024398989689712103,-0.007459332992395022,-0.005422940909891949
2025-01-13,0.0019546741777975996,0.013006500709167312,0.0015742043780537784,0.020072384448213576,0.021392437581369883,0.023391785325946657,0.010147267143311822,0.010398083068746011,-0.0019546741777975996,-0.013006500709167312,0.0015742043780537784,0.020072384448213576,0.021392437581369883,0.023391785325946657,-0.010147267143311822,-0.010398083068746011,0.00517662005799387,-5.456517168900277e-05,0.028961416755598712,0.02699995040893466,-0.0019546741777975996,-0.0018534192425576634,-0.01539267968058695,-0.013006500709167312,0.0011240175506500212,0.002643167919377731,0.0015742043780537784,-0.004652477757392859,-0.004712862138996954,0.020072384448213576,0.005978436096736021,-0.00426230587345291,0.021392437581369883,0.008474577035557948,0.007147953109856076,0.023391785325946657,0.0020954722708346196,-3.259630430498817e-05,-0.010147267143311822,-0.009138045928902253,-0.0043888152090104885,-0.010398083068746011,-0.01159902425281937,-0.008845844853111018
2025-01-14,0.021121093071560182,0.0014950479331172772,0.0011456233341640143,0.01439978828371924,0.009727026200383015,0.01505303545187786,0.02157838170905979,0.004789619287818958,0.021121093071560182,0.0014950479331172772,0.0011456233341640143,-0.01439978828371924,0.009727026200383015,0.01505303545187786,0.02157838170905979,-0.004789619287818958,-0.0020304643763710446,-0.0002591439145893659,-0.01688883153575027,-0.014999866485595703,0.021121093071560182,0.014286561507640627,-0.000803604470535646,0.0014950479331172772,-0.0007833985128688307,0.0015597581224525924,0.0011456233341640143,-0.004270603312671521,-0.0022505331688368103,-0.01439978828371924,0.001178506668829608,0.0007168024624464309,0.009727026200383015,0.011716919102352286,0.007003844173459584,0.01505303545187786,0.007113150754793907,0.003883585606079265,0.02157838170905979,-0.0019452520258823232,-0.0007458861827039698,-0.004789619287818958,-0.01319556401542569,-0.007513140266750007
2025-01-15,0.04030666140622685,0.01298719552681149,0.018147132504516605,0.07136228116838961,0.013450763857564496,0.0048080706022783914,0.011276058952881307,0.019484865783485183,0.04030666140622685,0.01298719552681149,0.018147132504516605,0.07136228116838961,0.013450763857564496,0.0048080706022783914,0.011276058952881307,0.019484865783485183,-0.004042437584313066,0.00015006968315800506,0.03224858479460391,-0.13500022888183683,0.04030666140622685,0.01982436009999648,0.01117349935002281,0.01298719552681149,0.0004919142502538184,0.0035708592223757663,0.018147132504516605,0.006955653405578133,0.0010670645133004086,0.07136228116838961,0.025678292444294648,0.014979560234975686,0.013450763857564496,0.014856742546439131,0.009720304232924271,0.0048080706022783914,0.014417630460034303,0.005229504573332022,0.011276058952881307,0.007569057839543092,0.0010880605750468674,0.019484865783485183,0.0014323878089734048,-0.0040203652525583776
2025-01-16,0.007466135920999761,0.012420208736854121,0.002114924340865798,0.03076460509072021,0.0057489118042592935,0.011294729250310276,0.000129139062845951,0.041239020379498115,-0.007466135920999761,0.012420208736854121,-0.002114924340865798,-0.03076460509072021,0.0057489118042592935,0.011294729250310276,0.000129139062845951,-0.041239020379498115,0.0011228042314356847,-0.00010915118184562367,-0.01713752375435096,-0.04699993133544833,-0.007466135920999761,0.017987206185595756,0.015140042001629795,0.012420208736854121,0.008967484065594297,0.004611441745011824,-0.002114924340865798,0.0057259438326049406,0.000644079645127249,-0.03076460509072021,0.008732629264650052,0.008826639216831644,0.0057489118042592935,0.009642233954068935,0.01087008659377613,0.011294729250310276,0.010385278434822176,0.007488450423394077,0.000129139062845951,0.010994526574929017,0.0011138883876160577,-0.041239020379498115,-0.008847924627943963,-0.012268169328458001
2025-01-17,0.04608745388695823,0.0007648764771968075,0.009941478308393314,0.027201980851542906,0.00585224475902546,0.013095814622159807,0.004664848939667898,0.007507125501586387,0.04608745388695823,-0.0007648764771968075,0.009941478308393314,0.027201980851542906,0.00585224475902546,0.013095814622159807,0.004664848939667898,0.007507125501586387,-0.0006487726813435811,0.00012274545895429867,-0.010219852162403065,0.0030002593994140625,0.04608745388695823,0.026309326457395105,0.01961887965318958,-0.0007648764771968075,0.008214175928822934,0.0026262150020837536,0.009941478308393314,0.008657895490681375,0.005738702836852383,0.027201980851542906,0.022599885643070767,0.014694450618741329,0.00585224475902546,0.008350640140283083,0.011234276840520429,0.013095814622159807,0.009732871491582825,0.013528687050514599,0.004664848939667898,0.005356682318465052,0.005500232304228625,0.007507125501586387,-0.0047490096981421814,-0.0058869462901983026
2025-01-20,0.02368756974713726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02368756974713726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002387192130245991,-0.0009553012817899997,0.0,0.0,-0.02368756974713726,0.004977916072940403,0.015272300539321649,0.0,0.0038851107532191045,0.005227515143917216,0.0,0.0026088513225091723,0.005423861961241627,0.0,-0.001187541413059101,0.010679973729098614,0.0,0.0038670521877615847,0.006955789324246453,0.0,0.00813018129082336,0.008850329985325266,0.0,0.0015979960008379497,0.00752968573289099,0.0,-0.01124396495930391,-0.0038073296764491006
2025-01-21,0.03968183425876326,0.0038913914786418147,0.008730009440595765,0.0018087689874324298,0.007199034008586125,0.018364379007273612,0.030288441364550778,0.03243633773379706,0.03968183425876326,0.0038913914786418147,0.008730009440595765,-0.0018087689874324298,-0.007199034008586125,0.018364379007273612,0.030288441364550778,-0.03243633773379706,-0.013846556749465149,-0.0014619842304421926,-0.025884229863912367,-0.03500032424926758,0.03968183425876326,0.02069390613286141,0.018984448776762263,0.0038913914786418147,0.0010421716671483356,0.005706783853022123,0.008730009440595765,0.0062238292496630265,0.0069407391825279776,-0.0018087689874324298,0.008464403954703492,0.013198177588355975,-0.007199034008586125,-0.00044892974985355494,0.0035705772824526248,0.018364379007273612,0.01048673120981114,0.009512598696404417,0.030288441364550778,0.011651096768072891,0.009271697663989187,-0.03243633773379706,-0.008309737410736892,-0.009336673365644721
