asset,feature,coef,se,pvalue,stars,ci_lower_95,ci_upper_95,sig_95
r_btc,y_lag1,0.0009411007352333725,0.0019540281694849673,0.74,,-0.002192823315533143,0.005674726474445257,False
r_btc,y_lag2,0.0004670094852411839,0.0013334063492418807,0.816,,-0.0013003281139363735,0.004226893381435777,False
r_btc,y_lag3,-0.0002745070007335095,0.0013872306660596078,0.904,,-0.0037297408163859723,0.0016157526632374355,False
r_btc,y_lag4,-0.002366774718810491,0.001392370895641557,0.144,,-0.004982806043053837,-0.0,False
r_btc,y_lag5,-0.0,0.0013734393002706878,1.0,,-0.00316722299893762,0.0025008063469465717,False
r_gold,y_lag1,0.0014448123576847115,0.0008995070852165742,0.168,,0.0,0.0033237012192486497,False
r_gold,y_lag2,0.001340664397657305,0.0008375689200269612,0.18,,0.0,0.00296433090734766,False
r_gold,ctl_dln_eurusd_lag1,0.0,0.00036060304501228505,1.0,,-0.0006091792978780809,0.0011329995515806913,False
r_gold,ctl_dln_eurusd_lag2,-0.0,0.0005743958932862309,1.0,,-0.0015637759423961757,0.0010909544754583677,False
r_gold,ctl_dln_eurusd_lag3,-0.0002343413053070306,0.0005259677033689303,0.824,,-0.001618668582519883,-0.0,False
r_gold,ctl_dln_usdcny_lag1,0.00041944307616999206,0.0004846434580921269,0.592,,0.0,0.0016218818826753431,False
r_gold,ctl_dln_usdcny_lag2,-0.001496575367135346,0.0008522376333732747,0.112,,-0.0030522383838438912,-0.0,False
r_gold,ctl_dln_usdcny_lag3,0.0,0.00031842515328660785,1.0,,-0.00036862226066439364,0.0010133841037538401,False
r_gold,ctl_dln_oil_lag1,-0.0,0.0005565667861289296,1.0,,-0.0017245245316359714,0.0006237306975246643,False
r_gold,ctl_dln_oil_lag2,-0.00012881907560955127,0.0005157494707692848,0.904,,-0.0017275837583703368,0.0,False
r_gold,ctl_dln_oil_lag3,-0.00041994453866364554,0.0007084572441185959,0.964,,-0.0020474487694996063,0.0005442498215569427,False
r_gold,ctl_dy10_lag1,0.0014695210881407047,0.0009680725497734373,0.184,,0.0,0.0034048865365916892,False
r_gold,ctl_dy10_lag2,0.0,0.0004585402297542625,1.0,,-0.000820204618644311,0.0013376778642308225,False
r_gold,ctl_dy10_lag3,0.0,0.000285273305987034,1.0,,-0.00033040656143563,0.0009020422279324022,False
r_spx,y_lag1,0.0,2.5131614707774673e-05,1.0,,0.0,0.0,False
r_spx,ctl_dln_eurusd_lag1,0.0,0.00015518612410887972,1.0,,0.0,0.0005657701197538298,False
r_spx,ctl_dln_eurusd_lag2,-0.00021655747780114536,0.000664910050962806,1.0,,-0.002217835831939621,-0.0,False
r_spx,ctl_dln_eurusd_lag3,-0.0,0.0002854519361434731,1.0,,-0.0009079484874091731,0.0,False
r_spx,ctl_dln_usdcny_lag1,0.0,0.00045455016341722665,1.0,,0.0,0.0015141637135829729,False
r_spx,ctl_dln_usdcny_lag2,-0.0,0.00023620921349055529,1.0,,-0.0009631217964098823,0.0,False
r_spx,ctl_dln_usdcny_lag3,0.0,0.00012857625691216882,1.0,,0.0,0.0004402591149014714,False
r_spx,ctl_dln_oil_lag1,0.0,0.0001656584350815713,1.0,,0.0,0.00044328727906785736,False
r_spx,ctl_dln_oil_lag2,-0.0006282965963504558,0.0014316015827794597,0.864,,-0.00459181237677253,0.0,False
r_spx,ctl_dln_oil_lag3,-0.0010329226294960015,0.0014155604110451133,0.8,,-0.004676571796955293,-0.0,False
r_spx,ctl_dy10_lag1,0.0015829266262909955,0.0014612444638984463,0.516,,0.0,0.004804843532173773,False
r_spx,ctl_dy10_lag2,-0.0,0.00022639464928248204,1.0,,-0.0006596225329136801,3.964106738836014e-05,False
r_spx,ctl_dy10_lag3,-0.0012215387794831717,0.0012895675449621114,0.576,,-0.0042446470275723765,-0.0,False
