variant,n_significant_lags,mean_pvalue_lags,min_pvalue_lags,n_significant_leads,mean_pvalue_leads,min_pvalue_leads,total_significant
surprise,0,0.7011976067095798,0.037770873676877564,0,0.5881107481179499,0.23827526058572374,0
surprise_engweighted,0,0.718329332362003,0.0511127672078166,0,0.5760250578392504,0.21196769176475108,0
surprise_topicweighted,0,0.4054926904893295,0.07000907468397326,0,0.6747341526521086,0.3100357213703951,0
surprise_engweighted_topicweighted,0,0.44235402676095237,0.07635512036527786,0,0.6564034321767029,0.3724129191910225,0
