asset,model,p,q_controls,q_ei,q_epi,q_epi_signed,q_ccd,q_intensity,q_surprise,q_split,f_ei,f_epi,f_epi_signed,f_ccd,f_intensity,f_surprise,f_split,cv_mae,cv_rmse,oos_mae,oos_rmse,oos_mape,cum_return_buy_hold,cum_return_strategy
r_btc,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.015412138426262594,0.019497516579317684,306.2838196845201,0.23273381067371135,0.656305807227253
r_gold,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.009674403205260331,0.012370115619211593,78.057144068577,0.05435749806149248,0.3055131539741345
r_spx,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.010704303699326869,0.017865859321567465,606.3539210785589,0.08541128925990416,0.15187446934139093
r_spx_auto,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.023789087838776916,0.03596616139495196,279.44159108046813,0.21965283268879943,0.5937120759383523
r_spx_oilgas,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.011562678840765178,0.018509631404512922,301.9036140201483,-0.07716435878803929,0.25607655106114
r_spx_mach,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.010876164649296253,0.017452021618220872,196.13154925760136,0.08781802883910994,0.18176261534886207
r_spx_elec,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.014149056527294377,0.020589260051638983,345.8623037619003,0.24648196012414547,0.2842481187120389
r_aapl,VARX_emotion,2,1,2,3,3,3,2,2,3,0,0,1,0,0,0,0,0.014582688563172463,0.017249834170275896,0.01705363454998169,0.027161676466620172,254.52255269575116,-0.032668568305153745,0.3776466229807718
