asset,feature,coef,se,boot_mean,ci_lower_99,ci_upper_99,sig_99,ci_lower_95,ci_upper_95,sig_95,ci_lower_90,ci_upper_90,sig_90
r_btc,y_lag1,0.0,0.0011305206291151813,0.00011204110664368513,-0.0044789481379998814,0.003772551844973421,False,-0.0023067559255763887,0.0028321420515414553,False,-0.0016165177947017738,0.0021671161409908346,False
r_btc,y_lag2,0.0,0.0007397796772302531,0.00018201637675221614,-0.002123427367486894,0.0035545813167327817,False,-0.0012208834455696943,0.0020825432999592125,False,-0.0008244640374016068,0.0016251420102707395,False
r_btc,y_lag3,-0.00017886134153218884,0.0010958994731807927,-0.0006236377607415922,-0.004571181488218195,0.0022039542960891065,False,-0.003466727063211354,0.0008461858847907024,False,-0.0027665920423792087,0.00037377305358042573,False
r_btc,y_lag4,-0.002197441585446062,0.001405209778149059,-0.001960101221827391,-0.0060516654588234735,0.00027525970594191465,False,-0.004892010239273618,0.0,False,-0.0043427233104627126,0.0,False
r_btc,y_lag5,0.0,0.0009560289334795317,0.00011324376032912702,-0.0033279786555220217,0.003521523307452798,False,-0.002041153099841805,0.002404099475038789,False,-0.0013979963259835321,0.0019415111244171408,False
r_btc,soc_epi_signed_topicweighted_lag0,0.0,0.0008330176934033355,0.0002835281583639596,-0.0016788140435888374,0.0037934607676141305,False,-0.0010538754621862011,0.002498794627437758,False,-0.0006783693885494583,0.0020395904105083855,False
r_btc,soc_epi_signed_topicweighted_lag1,-0.0,0.0010546072268906089,-0.00016148927119780085,-0.003967536150499035,0.002878695432920772,False,-0.002983711720291217,0.0021779394925325888,False,-0.0022429069256682385,0.001500407808014744,False
r_btc,soc_epi_signed_topicweighted_lag2,0.0,0.0012252350288223374,0.0005848841405855496,-0.0034635628168756508,0.0045416364428511715,False,-0.001609554909122718,0.0033164351130190086,False,-0.000895194226422334,0.002882248977862994,False
r_btc,soc_epi_signed_topicweighted_lag3,0.0008825472634625575,0.0011622840882071018,0.0009697695280143816,-0.0011297936144967408,0.004983620983620985,False,0.0,0.00373953165270749,False,0.0,0.003288286914394206,False
r_btc,soc_epi_signed_topicweighted_lag4,-0.0,0.000696966779010754,-3.022841713593649e-05,-0.002258226165306831,0.002909678559639409,False,-0.001585797504429849,0.0017194719802322805,False,-0.0013457730646842727,0.0011800223232869406,False
r_btc,ctl_dln_eurusd_lag1,-0.0010922851282590892,0.0020740525124359186,-0.0018702339681363341,-0.007781226710546548,0.0019231446888812375,False,-0.00662954757326311,0.000779351950904552,False,-0.006007125064187972,0.0,False
r_btc,ctl_dln_eurusd_lag2,-0.0033940895522233012,0.002322966045093404,-0.003499829897467187,-0.009781660473185391,0.0,False,-0.008233779163664828,0.0,False,-0.007422068253077682,0.0,False
r_btc,ctl_dln_usdcny_lag1,0.0010323188439379297,0.001270354145918538,0.0011877581199066479,-0.0006843403165883296,0.0049182355849787945,False,0.0,0.004076336183876394,False,0.0,0.003644829132675883,False
r_btc,ctl_dln_usdcny_lag2,0.00040252469229254336,0.0012966079516085168,0.0009455504066300961,-0.001055671651630437,0.00561085911776744,False,-0.0001466877214950129,0.004452523011155027,False,0.0,0.0034887630448205012,False
r_btc,ctl_dln_oil_lag1,4.3963851066405486e-05,0.0015857401385963009,0.000823074056923768,-0.003519687061552098,0.005980901398050337,False,-0.002079403570705118,0.004564744414330757,False,-0.001349984934507334,0.003910802166984675,False
r_btc,ctl_dln_oil_lag2,-0.0026937584172134505,0.002058759775876633,-0.0022841173533815103,-0.008272553440403277,0.0008887581032744924,False,-0.007065163004051411,0.0,False,-0.006093670448190178,0.0,False
r_btc,ctl_dy10_lag1,0.0010493681558707928,0.0015974954711344318,0.0011877076955365382,-0.002277100560780793,0.006188574492051267,False,-0.0010451083114478411,0.0050414277110665175,False,-0.0005858057468437223,0.00426390380863223,False
r_btc,ctl_dy10_lag2,0.0018350853799250404,0.0016087659278898995,0.0016709730675586025,-0.0006977341973085467,0.006491731845495212,False,0.0,0.005195033261211887,False,0.0,0.004708848408245854,False
r_gold,y_lag1,0.00217912477244989,0.0009924497110794554,0.0023034704844782797,-0.0,0.004742788522298461,False,0.0003932202686846934,0.004235952021686149,True,0.0006578561103597199,0.003943218214752301,True
r_gold,y_lag2,0.0018473467398398094,0.0009404413527226441,0.0017619009701972477,-0.00017365155938589433,0.004287196552836996,False,0.0,0.0036188325559874746,False,0.00015597600764138538,0.0033528955967972707,True
r_gold,soc_epi_signed_topicweighted_lag0,-0.001166669408993133,0.0008856847213870239,-0.0010838091848661003,-0.003392515483663392,0.0011149678613293097,False,-0.002822021382267095,0.0005384882017183429,False,-0.002502495435393003,0.00016746811371342585,False
r_gold,soc_epi_signed_topicweighted_lag1,-0.0008981119487405686,0.0006592103352433114,-0.0007725591369698357,-0.002544190258846636,0.0008732591560835055,False,-0.002138916334675513,0.0002973245034670095,False,-0.001870532775100517,9.603679599557786e-05,False
r_gold,soc_epi_signed_topicweighted_lag2,0.0017799416027039958,0.0013791904975183021,0.0016482977795449691,-0.001039983853443056,0.00527581760301862,False,-0.000545932553354776,0.004485194946997839,False,-0.00023692867473901403,0.003907776008143532,False
r_gold,soc_epi_signed_topicweighted_lag3,-0.000670470040745176,0.0006861739558591709,-0.0006586759791511975,-0.002533554670593698,0.0010488466213474665,False,-0.0021032727730622767,0.0005602840624534956,False,-0.0018602072788140385,0.00029728035949316833,False
r_gold,soc_epi_signed_topicweighted_lag4,-0.0006431431741480378,0.0006959161520017679,-0.0006201621369712469,-0.002697376102707021,0.0009381080770434624,False,-0.0021403948772414014,0.0005648847718220015,False,-0.0019261314692281413,0.0003489880377701356,False
r_gold,soc_epi_signed_topicweighted_lag5,0.0014971583334618555,0.0009000799568450446,0.0015273485824077618,-0.0002641075796589514,0.004183803356731014,False,0.0,0.003468182076532832,False,0.00014655897080120023,0.003097884986560517,True
r_gold,ctl_dln_eurusd_lag1,0.0002623173101653197,0.0006647255863243936,0.000357439213047846,-0.0015029940995776557,0.0021520656325787623,False,-0.0009629869071781408,0.0017190869192673475,False,-0.0007244607478702078,0.001503243592710199,False
r_gold,ctl_dln_usdcny_lag1,0.0011947029243827845,0.0006913324615088777,0.0011664308125549673,-0.0005351508420133336,0.003222008757646919,False,0.0,0.0025211947711260133,False,0.0,0.002336228867994164,False
r_gold,ctl_dln_oil_lag1,-0.00047305356795683567,0.0009569616398683593,-0.0006537903877281919,-0.003255162996075746,0.0017016508459102822,False,-0.0027256813177595975,0.0010926049510250008,False,-0.0023826245268102945,0.0007997798471190309,False
r_gold,ctl_dy10_lag1,0.0022675626451750665,0.001036693165916131,0.002398648915488245,-0.0,0.004867888680394672,False,0.00021193764511972146,0.0044584604327665145,True,0.0006607939179909511,0.004104495611960063,True
r_spx,y_lag1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,y_lag2,0.0,0.00044733250860025235,9.154011972689473e-05,0.0,0.002911180529149587,False,0.0,0.0015457099510618436,False,0.0,0.0004130711522650872,False
r_spx,y_lag3,0.0,0.0006094572789764737,0.0001505434378540861,0.0,0.0035908436691256956,False,0.0,0.0024162206959187703,False,0.0,0.001111044632817798,False
r_spx,soc_epi_signed_topicweighted_lag0,0.0,0.0,0.0,-0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,soc_epi_signed_topicweighted_lag1,-0.0,0.0,0.0,0.0,0.0,False,-0.0,0.0,False,0.0,0.0,False
r_spx,soc_epi_signed_topicweighted_lag2,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,ctl_dln_eurusd_lag1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,ctl_dln_usdcny_lag1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,ctl_dln_oil_lag1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
r_spx,ctl_dy10_lag1,0.0,0.0001201303364096195,1.0855561080069143e-05,0.0,0.0007833982494624534,False,0.0,0.0,False,0.0,0.0,False
