variant,n_significant_lags,mean_pvalue_lags,min_pvalue_lags,n_significant_leads,mean_pvalue_leads,min_pvalue_leads,total_significant
epi,0,0.35550731589524176,0.06843299574190388,0,0.5323205482036006,0.23507427628915814,0
epi_engweighted,0,0.35834150623100036,0.0617107964902345,0,0.5317315102883545,0.2509975638970051,0
epi_topicweighted,0,0.4154721967285822,0.1975880860228599,0,0.35910457933275874,0.11330876900733257,0
epi_engweighted_topicweighted,0,0.3973633438715181,0.013216153649536658,0,0.4009394565764946,0.006838561834750118,0
