variant,n_significant_lags,mean_pvalue_lags,min_pvalue_lags,n_significant_leads,mean_pvalue_leads,min_pvalue_leads,total_significant
intensity,0,0.4215209318026441,0.057676427258106115,0,0.6570654270809739,0.3478940058899591,0
intensity_engweighted,0,0.4022282520371553,0.0715073615068585,0,0.6738382996367898,0.32213719929386697,0
intensity_topicweighted,0,0.4916180991225157,0.21310354266582554,0,0.573847576351822,0.10998175603952998,0
intensity_engweighted_topicweighted,0,0.4267378196612963,0.08875486044887011,0,0.45881038153483816,0.01611737338101367,0
split,0,0.6396645028867809,0.05762421504681809,0,0.5112989902701184,0.1877119232663819,0
