variant,n_significant_lags,mean_pvalue_lags,min_pvalue_lags,n_significant_leads,mean_pvalue_leads,min_pvalue_leads,total_significant
epi_signed,3,0.309792586550395,0.00031333496674925684,5,0.09686963447151978,2.6732101747240937e-05,8
epi_signed_engweighted,3,0.3453588012618812,0.0006032027078386363,5,0.10063658335773931,6.807587522921262e-05,8
epi_signed_topicweighted,0,0.6987724368161878,0.31348070452621835,0,0.6238270895097338,0.18433121832083219,0
epi_signed_engweighted_topicweighted,0,0.6870939806507494,0.21975702785314186,0,0.4549048154781327,0.13024088634003356,0
