index,r_aapl,r_btc,r_gold,r_spx,r_spx_auto,r_spx_elec,r_spx_mach,r_spx_oilgas
epi,0.7770879729801069,0.9643011645643299,0.4814673914149205,0.4814673914149205,0.6368394460499804,0.493786503047085,0.6364725333254035,0.4814673914149205
epi_engweighted,0.7770879729801069,0.9984226506296867,0.517661891589231,0.4814673914149205,0.6728763308244302,0.4814673914149205,0.6364725333254035,0.4814673914149205
epi_engweighted_topicweighted,0.8602196772472626,0.6368394460499804,0.42291691678517307,0.7770879729801069,0.6364725333254035,0.6060177952248238,0.6364725333254035,0.6364725333254035
epi_topicweighted,0.6060177952248238,0.6364725333254035,0.9555350960655234,0.5958975124501973,0.6364725333254035,0.6364725333254035,0.7758820379434046,0.5958975124501973
