Asset,Best Model,MAE,RMSE,Strategy Return
r_btc,ARX_emotion,0.0123186185021231,0.0179390241595068,0.4652144531396267
r_gold,ARX_emotion,0.00719664451883,0.0096563079272365,0.3477307191077841
r_spx,ARX_emotion,0.0083416527978248,0.0133873722885924,0.329153561769415
r_spx_auto,ARX_baseline,0.0230594598544739,0.0336741229408343,0.7481978751940255
r_spx_oilgas,ARX_emotion,0.0091192152689086,0.0131428927630447,0.190889133134114
r_spx_mach,ARX_emotion,0.009667453733077,0.0154418676510903,0.282760085777954
r_spx_elec,ARX_emotion,0.0108089374954593,0.0140042198998756,0.7356681389588604
r_aapl,ARX_emotion,0.0130798035566888,0.0205201864810251,0.4921600002210364
