variant,n_significant_lags,mean_pvalue_lags,min_pvalue_lags,n_significant_leads,mean_pvalue_leads,min_pvalue_leads,total_significant
ei_community,0,0.683267419325094,0.16622180364244685,0,0.655484073394051,0.14328063382917391,0
ei_community_topicweighted,0,0.692043296343396,0.19062374643052904,0,0.6590990857784051,0.13660105828708552,0
ei_creator,0,0.530521167597312,0.21602984559900373,0,0.4560825262209779,0.07699096237365902,0
ei_creator_engweighted,0,0.5303860660424822,0.24873564083241229,0,0.5272411081926638,0.0858448005049238,0
ei_creator_topicweighted,0,0.6654221071393576,0.31084898951915263,0,0.4891057280986133,0.15393078098819588,0
