asset,model,p,q_control,q_ei,q_epi,q_epi_signed,q_ccd,q_intensity,q_surprise,q_split,f_ei,f_epi,f_epi_signed,f_ccd,f_intensity,f_surprise,f_split,cv_mae,cv_rmse,oos_mae,oos_rmse,oos_mape,cum_return_buy_hold,cum_return_strategy
r_btc,ARX_emotion,5,2,0,2,3,0,0,3,2,2,1,0,1,2,0,2,0.012318618502123162,0.012318618502123162,0.01231861850212317,0.017939024159506864,189.67716988747114,0.3429179078130298,0.4652144531396267
r_gold,ARX_emotion,1,1,0,0,3,0,3,2,1,0,0,1,0,1,0,0,0.007196644518830006,0.007196644518830006,0.007196644518830007,0.00965630792723651,70.63256211956278,0.06343691400043294,0.3477307191077841
r_spx,ARX_emotion,2,2,1,2,1,3,3,0,2,1,2,2,2,2,2,1,0.008341652797824858,0.008341652797824858,0.008341652797824856,0.013387372288592436,219.54348007700685,0.08117130580526233,0.329153561769415
r_spx_auto,ARX_emotion,1,0,1,0,0,2,3,0,0,1,1,2,1,0,0,1,0.023059459854473944,0.023059459854473944,0.023059459854473944,0.03367412294083432,272.8500745953861,0.25669111373694165,0.7481978751940255
r_spx_oilgas,ARX_emotion,1,3,1,0,1,1,0,0,2,0,1,2,0,2,1,1,0.00911921526890865,0.00911921526890865,0.00911921526890865,0.013142892763044776,275.9760745347475,-0.07742796154593701,0.19088913313411404
r_spx_mach,ARX_emotion,1,1,0,2,2,3,1,0,1,1,1,2,0,1,2,1,0.009667453733077024,0.009667453733077024,0.009667453733077024,0.015441867651090367,192.94762445343773,0.08905609334128117,0.282760085777954
r_spx_elec,ARX_emotion,1,3,2,0,2,0,0,3,3,1,3,3,2,1,1,1,0.01080893749545936,0.01080893749545936,0.01080893749545938,0.014004219899875674,216.21794503580455,0.2492609318055774,0.7356681389588604
r_aapl,ARX_emotion,2,3,1,3,2,1,2,0,2,1,1,1,1,2,3,2,0.013079803556688838,0.013079803556688838,0.013079803556688847,0.02052018648102517,201.4448620304936,-0.03573804795093749,0.49216000022103645
