asset,model,p,q_controls,cv_mae,cv_rmse,oos_mae,oos_rmse,oos_mape,oos_r2,cum_return_buy_hold,cum_return_strategy
r_btc,ARX_baseline,5,0,0.015243606629913241,0.015243606629913241,0.01524360662991324,0.0195694259737699,353.3505450844707,-0.06594575330122932,0.31572982569627084,0.49218163313241314
r_gold,ARX_baseline,2,3,0.009057458247989652,0.009057458247989652,0.00905745824798965,0.011992694811385192,76.26919254676272,-0.2677135430811943,0.06343691400043294,0.3716429971499631
r_spx,ARX_baseline,1,3,0.009901041177520633,0.009901041177520633,0.009901041177520633,0.015690434985764966,646.2109936074241,-0.00027510409188424845,0.08549941928282534,0.2652109133942506
